id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error
168164504,1500,"£1,500 pcm",monthly,Flat,1,1,"Archdale Road, East Dulwich, SE22","This one's for you if... You’re someone who thrives in the sunshine, coffee in hand, book in lap, feet up in your own private garden. Whether it’s morning rituals or golden hour wind-downs, outdoor space isn’t a nice-to-have, it’s a non-negotiable. I...",https://www.rightmove.co.uk/properties/168164504#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168164504,"Paramount, London - Lettings",62636,Added on 17/09/2025,2025-10-13T15:34:40Z,,SE22,2025-10-15T17:44:44.782610,{},382.0,35.0,True,
167913068,1500,"£1,500 pcm",monthly,Flat,1,1,"Blanchedowne, Camberwell","Beautifully presented and thoughtfully designed, this charming ground-floor studio offers a stylish and comfortable living space. Boasting a modern interior throughout, the property is move-in ready and designed to make the most of every inch of space The main studio room is bright and welcoming...",https://www.rightmove.co.uk/properties/167913068#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167913068,"Dexters, East Dulwich",255212,Reduced today,2025-10-07T13:48:31Z,,,2025-10-15T17:44:44.782786,{},,,True,
168223658,1200,"£1,200 pcm",monthly,House,1,1,"Troutbeck Road, London, SE14","BILLS INCLUDED! Room 3, first floor with private ensuite shower room. A lovely double bedroom on the first floor, that has its own ensuite shower room. The shower room is a modern space and has a nice size cubicle, vanity wash basin and w.c.",https://www.rightmove.co.uk/properties/168223658#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168223658,"Leaders Lettings, Forest Hill",37163,Reduced today,2025-10-15T17:09:52Z,,SE14,2025-10-15T17:44:44.782796,{},,,True,
167615594,1450,"£1,450 pcm",monthly,Flat,1,1,"St Johns Park, Blackheath, SE3","** WALK THROUGH VIDEO ** Available NOW FURNISHED or UNFURNISHED, Ideal for sole occupation. Studio apartment on the first floor flat. The flat has its own front door and access to the communal rear garden with bike storage, off street limited parking or parking on road via residents permit.",https://www.rightmove.co.uk/properties/167615594#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167615594,"Your London, Greenwich",89638,Reduced today,2025-09-30T14:24:38Z,,SE3,2025-10-15T17:44:44.782810,{},,,True,
167303591,1500,"£1,500 pcm",monthly,Flat,1,1,"Vandome Close, London E16","A large and modernized one double bedroom apartment spanning approximately 520 square feet and is conveniently located with just a 4 minute walk to Custom House DLR Station, and close to Western Gateway, and EXCEL. This spacious one double bedroom is based on the second floor and boasts a lar...",https://www.rightmove.co.uk/properties/167303591#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167303591,"BPS London, London",95999,Reduced today,2025-09-23T11:55:36Z,,E16,2025-10-15T17:44:44.782817,{},,,True,
