id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error,edinburgh_distance_km,edinburgh_drive_time_minutes,edinburgh_transit_time_minutes,glasgow_distance_km,glasgow_drive_time_minutes,glasgow_transit_time_minutes
168089243,1600,"£1,600 pcm",monthly,Flat,2,1.0,"3115L Brunswick Street, Edinburgh, EH7 5HS","REF: 3115L: BRUNSWICK STREET   Beautiful and recently upgraded, 2 bedroom flat located in the traditional tenement buildings of Brunswick Street, just off Leith Walk and very close to the city centre.  There are excellent transport links to the whole city and many local amenities on of...",https://www.rightmove.co.uk/properties/168089243#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168089243,"SouthSide Property Management, Edinburgh",50169,Reduced on 29/09/2025,2025-10-10T15:07:55Z,,EH7,2025-10-17T01:45:23.471487,"{'let available date': 'Now', 'deposit': '£1,600', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,2.53,9.8,20.0,93.12,67.4,127.5
167581670,1790,"£1,790 pcm",monthly,Parking,2,1.0,"East Fountainbridge, Edinburgh, EH3","DEPOSIT £2685, Two bedroom furnished property in Edinburgh. TO BOOK AVIEWING ONLINE, PLEASE FILL IN CONTACT AGENT FORM. ",https://www.rightmove.co.uk/properties/167581670#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167581670,"DJ Alexander, Edinburgh",29310,Added on 29/09/2025,2025-09-29T19:49:55Z,,EH3,2025-10-17T01:45:23.471537,"{'let available date': 'Now', 'deposit': '£2,685', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,1.98,4.8,31.6,74.82,57.1,182.4
167581676,1535,"£1,535 pcm",monthly,Flat,2,2.0,"North Werber Park, Edinburgh, EH4","DEPOSIT £500 - Furnished 1st floor flat to rent in Edinburgh. TO BOOK A VIEWING ONLINE, PLEASE FILL OUT THE CONTACT AGENT FORM.",https://www.rightmove.co.uk/properties/167581676#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167581676,"DJ Alexander, Edinburgh",29310,Added on 29/09/2025,2025-09-29T19:49:59Z,,EH4,2025-10-17T01:45:23.471555,"{'let available date': 'Now', 'deposit': '£500', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,6.91,12.0,32.7,69.63,50.5,136.0
167581679,1900,"£1,900 pcm",monthly,Flat,2,1.0,"York Lane, Edinburgh, EH1","DEPOSIT £500, Two bedroom furnished property in Edinburgh. TO BOOK A VIEWING ONLINE, PLEASE FILL IN THE CONTACT AGENT FORM.",https://www.rightmove.co.uk/properties/167581679#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167581679,"DJ Alexander, Edinburgh",29310,Added on 29/09/2025,2025-09-29T19:50:02Z,,EH1,2025-10-17T01:45:23.471565,"{'let available date': 'Now', 'deposit': '£500', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,1.75,4.9,8.8,74.31,56.5,96.6
167581316,1650,"£1,650 pcm",monthly,Apartment,2,1.0,"Gladstone Terrace, Newington, Edinburgh","Video Tour Available! This beautiful flat is located in the popular Marchmont area, situated off the wide tree lined Gladstone Terrace. Gladstone Terrace is in a fantastic location with many bars and restaurants close by, as well the famous open space of the meadows on your door step.<...",https://www.rightmove.co.uk/properties/167581316#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167581316,"Rettie, Edinburgh South",285785,Added on 29/09/2025,2025-09-29T19:22:27Z,,,2025-10-17T01:45:23.471572,"{'let available date': 'Now', 'deposit': '£1,850', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",797.0,74.0,True,,2.77,7.1,14.4,75.15,57.4,113.4
167570663,1600,"£1,600 pcm",monthly,Terraced,4,2.0,"Luss Road, Glasgow","This stunning 4-bedroom terraced home in the heart of Drumoyne has been fully refurbished to an exceptional standard, offering modern living with generous space throughout. ",https://www.rightmove.co.uk/properties/167570663#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167570663,"Houston Home Lettings Ltd, Glasgow",224042,Added on 29/09/2025,2025-09-29T16:13:07Z,,,2025-10-17T01:45:23.471579,"{'let available date': 'Now', 'deposit': '£3,200', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,81.72,64.1,116.7,6.76,12.3,41.4
167217428,1750,"£1,750 pcm",monthly,Apartment,3,2.0,"Silverwells Court, Bothwell, Bothwell","Ronald Ross LTD welcome to the rental market this large three bedroom unfurnished top floor flat located within Silverwells Court, Bothwell. The property features spacious accommodation with all rooms accessed via the entrance hallway. The layout consists of lounge providing access (cont.)",https://www.rightmove.co.uk/properties/167217428#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167217428,"Ronald Ross, Glasgow",270305,Reduced on 29/09/2025,2025-09-19T21:55:04Z,,,2025-10-17T01:45:23.471586,"{'let available date': 'Now', 'deposit': '£1,750', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,83.09,64.3,146.8,20.18,17.9,81.9
168210056,1695,"£1,695 pcm",monthly,Flat,2,2.0,"Young Street, City Centre, Edinburgh","A STYLISH, CENTRALLY POSITIONED, TWO DOUBLE BEDROOM FULLY FURNISHED FLAT.",https://www.rightmove.co.uk/properties/168210056#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168210056,"Murray & Currie, Edinburgh",68784,Added on 29/09/2025,2025-10-15T15:02:49Z,,,2025-10-17T01:45:23.471593,"{'let available date': '14/11/2025', 'deposit': '£1,695', 'min. tenancy': '6 months', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,415.14,306.3,287.7,410.4,276.7,384.6
167558579,1465,"£1,465 pcm",monthly,Apartment,2,1.0,"Ruskin Terrace, Botanics, Glasgow","EVE Property are pleased to present this bright and spacious ground floor flat, ideally positioned in Glasgow´s sought-after West End, just a short distance from the beautiful Botanic Gardens. Set within a quiet residential street, the property enjoys open views to the front and benefits fro...",https://www.rightmove.co.uk/properties/167558579#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167558579,"Eve Property, Glasgow",75780,Added on 29/09/2025,2025-09-29T13:27:57Z,,,2025-10-17T01:45:23.471599,"{'let available date': 'Now', 'deposit': '£1,465', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,77.56,62.9,90.2,2.97,9.9,38.6
167556287,1400,"£1,400 pcm",monthly,Detached,2,2.0,"Mary Young Drive, Blairgowrie, PH10","Short or Long term lets . A well behaved pet considered. No 10 Altamount Park is detached modern property, with a garage beside it. Light and airy with gas central heating and double glazing. It... ** Property Reference: 1009654 **",https://www.rightmove.co.uk/properties/167556287#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167556287,"OpenRent, London",96668,Reduced on 29/09/2025,2025-09-29T12:52:08Z,,PH10,2025-10-17T01:45:23.471604,"{'let available date': 'Now', 'deposit': '£1,400', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,117.42,101.1,,142.32,109.0,
