id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error,coordinates,distance_to_center_km,price_score,location_score,size_score,overall_score
167779664,1300,"£1,300 pcm",monthly,Flat,1,1.0,"Middle Park Avenue, London, SE9","Located in the heart of Mottingham, this one-bedroom apartment at Middle Park Avenue offers a wonderful opportunity to live in a well-connected and vibrant part of London. The property is beautifully finished throughout, making it an ideal home for a single professional or a couple...",https://www.rightmove.co.uk/properties/167779664#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167779664,"Cockburn Estate Agents, New Eltham",124243,Reduced today,2025-10-03T15:50:59Z,,SE9,2025-10-15T18:49:25.586905,"{'let available date': 'Now', 'deposit': '£1,500', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",501.0,47.0,True,,"(51.4412741, 0.0472564)",14.243299177114519,82.22222222222221,71.51340164577095,47.0,70.89
87295767,1450,"£1,450 pcm",monthly,Ground Flat,1,1.0,"Kingston Road, London",Newly Refurbished Double Bedroom Ground Floor Flat for Rent Price: £1450pcm,https://www.rightmove.co.uk/properties/87295767#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87295767,"Sharpes Estates Ltd, Colliers Wood",5353,Reduced yesterday,2025-10-14T11:26:03Z,,,2025-10-15T18:49:30.583880,"{'let available date': 'Now', 'deposit': '£1,673', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",506.0,47.0,True,,"(51.4096573, -0.2267923)",12.941615951769972,78.88888888888889,74.11676809646005,47.0,70.6
167633273,1500,"£1,500 pcm",monthly,Apartment,1,1.0,"Lordship Lane, London, N22","Bright & airy spacious self contained private 1-bedroom flat with private garden within a 5 minute walk to Wood Green Underground Station, local shops and amenities and Wood Green Town Centre with its Cinema complex, restaurants, library and bars. Bus stop outside the property with journeys direc...",https://www.rightmove.co.uk/properties/167633273#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167633273,"Mortimer Surveyors, London",265268,Added on 30/09/2025,2025-09-30T17:41:16Z,,N22,2025-10-15T18:49:43.834954,"{'let available date': 'Now', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",388.0,36.0,True,,"(51.5975186, -0.1077501)",10.043425478592404,77.77777777777779,79.91314904281519,36.0,70.28
168088427,1460,"£1,460 pcm",monthly,Flat,1,1.0,"Yeoman House, 63 Croydon Road, London","We are proud to offer a luxurious living in the heart of Penge. Introducing a pinnacle of modern urban living at Yeoman House, 63 Croydon Road, Penge, London, SE20 7TS. Exquisite and brand-new 1 and 2 bedroom apartments are nestled within a newly developed residential building, offering a...",https://www.rightmove.co.uk/properties/168088427#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168088427,"Mays Management, London",229781,Added on 10/10/2025,2025-10-10T14:58:16Z,,,2025-10-15T18:49:38.504359,"{'let available date': '24/10/2025', 'deposit': '£1,684', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",441.0,41.0,True,,"(51.4108429, -0.0551612)",11.934475615454941,78.66666666666666,76.13104876909011,41.0,70.12
168004232,1500,"£1,500 pcm",monthly,Flat,2,1.0,"Seaford Road, Enfield","Applicant Requirements: We are searching for tenant(s) with a minimum household income of £45,000pa+ - Baker and Chase are delighted to present this newly painted, spacious 2 double bedroom flat to rent just 0.3m from Enfield Town Centre. Located on the 2nd floor (top) of th...",https://www.rightmove.co.uk/properties/168004232#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168004232,"Baker and Chase, London Borough of Enfield",109898,Added on 08/10/2025,2025-10-08T17:56:00Z,,,2025-10-15T18:49:43.835209,"{'let available date': '18/10/2025', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",632.0,59.0,True,,"(51.6504065, -0.0733726)",16.273044486086714,77.77777777777779,67.45391102782656,59.0,69.89
168067961,1500,"£1,500 pcm",monthly,Apartment,1,1.0,"High Road, London, N12","We are pleased to present a newly refurbished one bedroom apartment to rent in North Finchley High Road, N12. This one bedroom apartment comprises of a sleek and modern kitchen reception area, a double bedroom with built in storage and a good-sized bathroom. The development offers lift access and...",https://www.rightmove.co.uk/properties/168067961#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168067961,"Nova Haus London, London",240566,Added on 10/10/2025,2025-10-10T10:15:34Z,,N12,2025-10-15T18:49:40.916084,"{'let available date': 'Now', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",480.0,45.0,True,,"(51.6189348, -0.1765706)",12.790399569205412,77.77777777777779,74.41920086158918,45.0,69.88
166579106,1450,"£1,450 pcm",monthly,Flat,1,1.0,"Gleneagle Road, Streatham, London, SW16",ZERO DEPOSIT AVAILABLE. LONG LET. This charming 1 bedroom flat is situated on the 1st floor and boasts bright and airy interiors throughout. It offers great accommodation including a spacious reception room and a double bedroom.,https://www.rightmove.co.uk/properties/166579106#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166579106,"Foxtons, Streatham",71419,Reduced on 13/10/2025,2025-09-04T11:59:25Z,,SW16,2025-10-15T18:49:33.363219,"{'let available date': 'Ask agent', 'deposit': '£1,674', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",267.0,25.0,True,,"(51.4270941, -0.1316405)",9.016863375052491,78.88888888888889,81.96627324989501,25.0,69.34
168080321,1300,"£1,300 pcm",monthly,Apartment,1,1.0,"Fieldfare Road, London, SE28",Bright and spacious top floor one bed flat.,https://www.rightmove.co.uk/properties/168080321#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168080321,"jdm, Greenwich",250727,Added on 10/10/2025,2025-10-10T13:11:27Z,,SE28,2025-10-15T18:49:30.583802,"{'let available date': 'Now', 'deposit': '£1,500', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",540.0,50.0,True,,"(51.5073493, 0.1215649)",17.29940754852457,82.22222222222221,65.40118490295086,50.0,69.05
166064060,335,"£1,452 pcm",weekly,Flat,1,1.0,"Burton Road, Kilburn",Lovely one bedroom flat on 2nd floor of period conversion. Bright neutral décor and wooden flooring throughout. Open plan kitchen lounge area with washing machine. Bedroom on separate level. Three piece shower room with attached power shower. Fully furnished. Great for couples and sharers.,https://www.rightmove.co.uk/properties/166064060#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166064060,"parkinsonfarr, Willesden Green",29643,Reduced today,2025-08-21T15:21:52Z,,,2025-10-15T18:49:25.586976,"{'let available date': 'Now', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",35.0,3.0,True,,,,100.0,0.0,44.417931034482756,48.88
167347229,334,"£1,447 pcm",weekly,Flat,1,1.0,"Cygnet Close, Stonebridge, NW10 8TP",Spacious purpose built 1 bedroom ground floor flat * Fitted kitchen * Good size bedroom * Modern bathroom * Offered in very good condition * Free Parking Located on a quiet residential area. With good access to local amenities as the development is located just off the Bre...,https://www.rightmove.co.uk/properties/167347229#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167347229,"Churchill & Mathesons, Harlesden",266774,Reduced yesterday,2025-09-24T09:38:20Z,,NW10,2025-10-15T18:49:30.583850,"{'let available date': 'Now', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",408.0,38.0,True,,,,100.0,0.0,38.0,47.6
