id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error
168018077,1400,"£1,400 pcm",monthly,Flat,1,1,"Baildon Street, London, SE8","Contemporary one bedroom flat within a unique development, well-located for all local amenities and transport links. Comprising of wooden flooring, gas central heating and double glazing. Also benefiting from a separate kitchen, modern shower suite, one double bedroom with built-in wardrobe and ...",https://www.rightmove.co.uk/properties/168018077#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168018077,"Keatons, Deptford",2915,Reduced on 13/10/2025,2025-10-09T10:20:03Z,,SE8,2025-10-15T17:29:39.469110,{},449.0,42.0,True,
167903528,1400,"£1,400 pcm",monthly,Flat,1,1,"Deptford High Street, London, SE8","Charming ground floor flat on the vibrant High Street. Open-plan kitchen living area, private garden, cosy bedroom, stylish shower. Gas central heating. EPC rating C (74), council tax Band A.",https://www.rightmove.co.uk/properties/167903528#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167903528,"Kallars, London",289823,Added on 07/10/2025,2025-10-07T12:00:18Z,,SE8,2025-10-15T17:29:39.469233,{},431.0,40.0,True,
166826654,1450,"£1,450 pcm",monthly,Flat,1,1,Baildon Street,One bed apartment,https://www.rightmove.co.uk/properties/166826654#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166826654,"Valley Homes, Coulsden",293618,Added on 10/09/2025,2025-09-10T13:28:44Z,,,2025-10-15T17:29:39.469261,{},463.0,43.0,True,
166525298,1400,"£1,400 pcm",monthly,Apartment,0,1,"Inwen Court, Grinstead Road","Studio Plus apartment - This spacious studio offers a separate sleeping area, and plenty of storage. Situated right next to Deptford Park within walking distance of Deptford Station, Surrey Quays Station and South Bermondsey Station with excellent transport links. Click to find out more...",https://www.rightmove.co.uk/properties/166525298#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166525298,"Living in London, Canada Water Tube Station",55268,Added on 03/09/2025,2025-09-03T10:58:21Z,,,2025-10-15T17:29:39.469265,{},,,True,
166029857,1500,"£1,500 pcm",monthly,Apartment,1,1,"Armoury Road, London","A purpose built one bedroom apartment excellently located within this sought after development within easy reach of Lewisham Station (for train, DLR and bus services). Living room * Fitted Kitchen * Double bedroom * Bathroom * Resident controlled parking *",https://www.rightmove.co.uk/properties/166029857#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166029857,"London Key, Blackheath",161585,Added on 20/08/2025,2025-08-20T18:20:06Z,,,2025-10-15T17:29:39.469267,{},,,True,
